,ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
131,Apigenin,0,-5.2,51.605732477687646,11.273780575062561,-1.9549606860759663,1024,4,14
132,Apigenin,0,-5.2,50.43037648403739,10.579033163357787,-3.655754552547541,1024,4,15
133,Apigenin,0,-7.9,40.0900277495524,15.43974322238909,-0.7532053155300911,1024,5,1
134,Apigenin,0,-7.1,40.049975363233756,16.139805682079068,-1.0194469027964317,1024,5,2
135,Apigenin,0,-6.8,40.251699419353436,15.47618608489386,-1.254229558875933,1024,5,3
136,Apigenin,0,-6.7,40.1024807429559,14.684317375830345,-0.5136482579804427,1024,5,4
137,Apigenin,0,-5.6,46.50295459729278,10.896934317712722,-7.8250465546227845,1024,5,5
138,Apigenin,0,-5.6,46.51602333613071,10.936383377064027,-7.856733070896003,1024,5,6
139,Apigenin,0,-5.5,47.93765035602005,10.109499915380797,-7.470604094809687,1024,5,7
140,Apigenin,0,-5.5,47.942265556654206,10.105302424866546,-7.47324653735697,1024,5,8
141,Apigenin,0,-5.4,47.69072339618866,11.992843023353464,-7.646000776885638,1024,5,9
142,Apigenin,0,-5.3,46.90452425364304,11.561781981633649,-7.946659466320686,1024,5,10
143,Apigenin,0,-5.3,47.15601974967458,11.085482778224499,-7.775711116638403,1024,5,11
144,Apigenin,0,-5.3,48.1842007189631,10.991705069879815,-6.502420478881642,1024,5,12
145,Apigenin,0,-5.2,51.62512832405868,11.261811928169664,-1.9565668988356295,1024,5,13
146,Apigenin,0,-5.2,40.825387336726166,13.976756984200346,-13.280344157676408,1024,5,14
147,Apigenin,0,-5.2,50.47594823082785,10.542416048665283,-3.659473693305797,1024,5,15
148,Apigenin,1,-7.9,40.11289448984196,15.369205711306329,-0.7234718114688631,1024,1,1
149,Apigenin,1,-7.9,40.12362057119905,15.373140815023945,-0.7383164399654654,1024,1,2
150,Apigenin,1,-7.6,39.56817322908189,16.903288264163315,-0.9670638067578492,1024,1,3
151,Apigenin,1,-7.2,40.287524330548855,14.267452605454654,-0.4306659812016931,1024,1,4
152,Apigenin,1,-7.1,40.471619071079466,14.153618878510914,-0.3560131519602132,1024,1,5
153,Apigenin,1,-6.9,40.27133859522697,15.500511928420446,-1.3123140282990648,1024,1,6
154,Apigenin,1,-6.7,40.52706785540886,13.688087880865286,0.05792145734109055,1024,1,7
