Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
22 1 -7.125653 0.0 -38.9578 7.54986 -13.4103 331.081 -2696.5 329.692 -2687.11 0.0 329.692 -2687.11 2.25779 -38.9578 -2394.1182 -5.11815 -5.11815
22 2 -7.23923 0.0 -42.9612 7.39094 -13.9142 331.081 -2696.5 329.545 -2683.3 0.0 329.545 -2683.3 2.91954 -42.9612 -2393.7969 -4.25609 -4.25609
22 3 -6.7351193 0.0 -36.6602 7.46192 -17.2086 331.081 -2696.5 329.592 -2688.06 0.0 329.592 -2688.06 8.41273 -36.6602 -2386.7156 -2.89183 -2.89183
23 0 -7.087685 0.0 -39.2108 6.66844 -14.1491 331.081 -2696.5 329.925 -2688.56 0.0 329.925 -2688.56 4.06379 -39.2108 -2393.782 -7.52156 -7.52156
23 1 -6.2944293 0.0 -30.8617 6.76852 -13.8292 331.081 -2696.5 329.99 -2688.13 0.0 329.99 -2688.13 3.6431 -30.8617 -2385.3584 2.41123 2.41123
23 2 -6.294252 0.0 -30.8594 6.76959 -13.8302 331.081 -2696.5 329.99 -2688.13 0.0 329.99 -2688.13 3.64235 -30.8594 -2385.357 2.41135 2.41135
24 0 -7.1873083 0.0 -42.0795 7.70085 -13.824 331.081 -2696.5 329.561 -2683.27 0.0 329.561 -2683.27 2.02547 -42.0795 -2393.763 -6.19393 -6.19393
24 1 -7.1865306 0.0 -42.076 7.70134 -13.8236 331.081 -2696.5 329.56 -2683.26 0.0 329.56 -2683.26 2.02593 -42.076 -2393.75 -6.19453 -6.19453
24 2 -7.243166 0.0 -46.1917 7.22271 -17.3781 331.081 -2696.5 329.406 -2681.88 0.0 329.406 -2681.88 13.525 -46.1917 -2385.1406 2.34604 2.34604
25 0 -7.211555 0.0 -42.5093 7.33817 -14.3643 331.081 -2696.5 329.501 -2684.01 0.0 329.501 -2684.01 3.30652 -42.5093 -2393.712 -4.56439 -4.56439
25 1 -7.2531047 0.0 -44.4932 7.31108 -15.6658 331.081 -2696.5 329.575 -2683.08 0.0 329.575 -2683.08 6.90216 -44.4932 -2391.0962 -2.78668 -2.78668
26 0 -7.2111416 0.0 -42.6592 7.80345 -14.5346 331.081 -2696.5 329.661 -2683.47 0.0 329.661 -2683.47 3.28585 -42.6592 -2393.1821 -3.84778 -3.84778
